zone,hour,cluster,count
15723,13,MON,13343
15723,14,MON,13275
15723,15,MON,13449
15723,16,MON,13768
15723,17,MON,14403
15723,18,MON,14681
15723,19,MON,14795
15723,20,MON,14717
15723,21,MON,14595
15723,22,MON,14031
15723,23,MON,13233
15723,0,MON,12700
15724,1,MON,4902
15724,2,MON,4301
15724,3,MON,4311
15724,4,MON,4887
15724,5,MON,5592
15724,6,MON,6361
15724,7,MON,7269
15724,8,MON,8055
15724,9,MON,8437
15724,10,MON,8582
15724,11,MON,8781
15724,12,MON,8659
15724,13,MON,8467
15724,14,MON,8389
15724,15,MON,8336
15724,16,MON,8103
